"ref_fctcode","ID_3","confidence","fct"
"9008","2167.01","h","KE18"
"5022","21431.01","h","KE18"
"9009","2162.01","h","KE18"
"5030","1318.01","h","KE18"
"12007","24212.02.02","h","KE18"
"3021","1707.01","h","KE18"
"1009","23140.03.01","m","KE18"
"6022","2211.01","m","KE18"
"4026","1239.01.01","h","KE18"
"3022","141.01","h","KE18"
"4028","1214.04","h","KE18"
"6026","22230.01.01","m","KE18"
"7021","21114.01","h","KE18"
"12008","24212.02.01","m","KE18"
"9013","21631.01.01","h","KE18"
"8007","1527.01","h","KE18"
"5036","1324.01","m","KE18"
"9012","2161.01","h","KE18"
"15110","1510.02","m","KE18"
"5010","1330.01","m","KE18"
"5003","1311.01","m","KE18"
"3011","1706.01","h","KE18"
"5023","1323.01","m","KE18"
"6018","22211.01","m","KE18"
"7011","231.01","h","KE18"
"5015","1322.01","m","KE18"
"3004","1701.03","h","KE18"
"9005","21700.02.01","l","KE18"
"1004","F0022.03","m","KE18"
"4030","1215.01","h","KE18"
"11001","2910.01","h","KE18"
"5017","1322.02","m","KE18"
"6006","22251.01.01","m","KE18"
"1019","112.02","h","KE18"
"1018","112.01","h","KE18"
"5019","1316.04","m","KE18"
"2016","1550.01","h","KE18"
"12003","23912.02.01","m","KE18"
"13026","1651.01","m","KE18"
"7003","21151.02","m","KE18"
"3020","1704.01","m","KE18"
"13009","1656.01","m","KE18"
"11003","23520.01","m","KE18"
"4005","1212.02","h","KE18"
"7027","231.02","m","KE18"
"4007","1212.03","h","KE18"
"10001","1708.01","h","KE18"
"1025","118.03","l","KE18"
"2013","1530.08","l","KE18"
"1032","23120.01.01","m","KE18"
"7004","21111.02.02","m","KE18"
"1039","114.03","h","KE18"
"4036","1234.02","m","KE18"
"4032","1235.02","m","KE18"
"7016","21116.03","h","KE18"
"1027","118.02","m","KE18"
"3016","1705.01","m","KE18"
"2019","1540.01","m","KE18"
"2007","1520.01.01","m","KE18"
"5004","1312.01","m","KE18"
"1031","23710.01","m","KE18"
"2014","1530.02","m","KE18"
"4016","1232.01","m","KE18"
"6001","22241.01.01","h","KE18"
"12004","F0665.01","m","KE18"
"10010","1379.9.01","l","KE18"
"15026","F0022.05","h","KE18"
"13028","1699.03","h","KE18"
"12005","23914.02","m","KE18"
"13031","21399.01.01","m","KE18"
"10006","1442.01","h","KE18"
"1041","1199.9.01","m","KE18"
"1045","111.01","m","KE18"
"3001","1702.02","m","KE18"
"3010","1703.01","m","KE18"
"13023","1253.02.03","h","KE18"
"2009","1510.01","m","KE18"
"10009","142.01","l","KE18"
"13006","1652.01","m","KE18"
"13007","1652.02","m","KE18"
"7009","21121.03","h","KE18"
"8010","1503.03","h","KE18"
"1007","F0020.01","m","KE18"
"6008","22241.02.01","h","KE18"
"1034","23161.02.01","m","KE18"
"13017","1699.07","h","KE18"
"3019","1709.9.01","m","KE18"
"10014","1444.01","m","KE18"
"10015","1445.01","m","KE18"
"4019","1212.04","m","KE18"
"4022","1214.01","h","KE18"
"13019","1252.01","m","KE18"
"5024","1317.01","m","KE18"
"4011","1251.01","m","KE18"
"2005","1801.01","m","KE18"
"8002","1505.07","h","KE18"
"4034","1290.9.02","m","KE18"
"2004","1313.01","m","KE18"
"4001","1215.02","m","KE18"
"1023","1290.01.01","h","KE18"
"1051","1290.01.03","m","KE18"
"13024","1253.01.01","h","KE18"
"6007","22120.02","h","KE18"
"13011","1654.01","h","KE18"
"7020","21113.02.01","h","KE18"
"15125","F0022.08","h","KE18"
"13015","1699.10","h","KE18"
"4013","1290.9.04","h","KE18"
"1005","F0020.02","m","KE18"
"5012","1319.01","m","KE18"
"7019","21115.01","m","KE18"
"10003","1460.02","m","KE18"
"9011","21700.02.02","m","KE18"
"9001","F1243.01","m","KE18"
"5028","1342.01.01","m","KE18"
"4014","1235.04","m","KE18"
"4037","21399.02.01","m","KE18"
"1030","23710.02","h","KE18"
"15081","23914.03","m","KE18"
"6019","22110.02.01","h","KE18"
"5025","1319.02","h","KE18"
"8011","1553.02","h","KE18"
"5031","1346.01","h","KE18"
"4021","1254.01","h","KE18"
"4012","1213.01","m","KE18"
"5027","1345.01","m","KE18"
"5034","1354.01","h","KE18"
"7025","21184.02.01","m","KE18"
"7022","21184.01.01","m","KE18"
"4004","1213.02","h","KE18"
"9002","21691.02.01","h","KE18"
"8012","1527.02","h","KE18"
"4008","1231.01","h","KE18"
"4009","1231.02","h","KE18"
"4010","1231.03","h","KE18"
"15019","F0020.06","h","KE18"
"15020","F0020.04","h","KE18"
"15130","F0020.05","h","KE18"
"15003","F0022.04","m","KE18"
"15025","F0022.06","m","KE18"
"7001","21111.02.03","h","KE18"
"7002","21111.02.01","l","KE18"
"4003","1290.9.06","h","KE18"
"4029","1290.9.07","h","KE18"
"4038","1290.9.08","h","KE18"
"1036","F0022.02","h","KE18"
"3002","1243.01","h","KE18"
"1024","23120.05.01","h","KE18"
"1026","23120.05.02","h","KE18"
"6009","22270.01","h","KE18"
"6010","22270.02","h","KE18"
"6011","22270.03","h","KE18"
"6012","22270.04","h","KE18"
"6013","22270.05","h","KE18"
"1038","23120.06.01","h","KE18"
"1040","23120.06.02","h","KE18"
"8035","1533.02","h","KE18"
"11002","1802.02","h","KE18"
"3005","1701.05","h","KE18"
"10008","1372.01","l","KE18"
"10002","1460.01","h","KE18"
"9007","21641.01.01","m","KE18"
"5002","1341.02","h","KE18"
"5007","1314.01","h","KE18"
"5008","1314.02","h","KE18"
"9003","1523.01","l","KE18"
"1044","23110.01","m","KE18"
"13003","F1232.09","h","KE18"
"3008","1709.9.02","h","KE18"
"3017","1709.9.03","h","KE18"
"4025","21397.01.01","h","KE18"
"4002","1235.03","h","KE18"
"4024","21393.01.01","h","KE18"
"1001","1199.9.02","h","KE18"
"7008","21122.01","h","KE18"
"7026","21170.01.03","h","KE18"
"1012","F0022.09","h","KE18"
"1013","F0022.10","h","KE18"
"1014","F0022.11","h","KE18"
"1015","F0022.12","h","KE18"
"1016","F0022.13","h","KE18"
"5013","21439.02.01","h","KE18"
"5016","21439.04.01","h","KE18"
"5026","21439.9.03","h","KE18"
"5035","21439.01.01","h","KE18"
"5018","1349.2.01","h","KE18"
"5039","1319.04","h","KE18"
"7015","21156.01","h","KE18"
"7018","21155.01","h","KE18"
"5005","21419.99.01","h","KE18"
"8015","1520.01","h","KE18"
"8016","1520.02","h","KE18"
"8017","1520.03","h","KE18"
"8037","1520.04","h","KE18"
"8038","1520.05","h","KE18"
"8039","1520.06","h","KE18"
"8018","1507.01","h","KE18"
"8019","1507.02","h","KE18"
"8020","1507.03","h","KE18"
"8021","1507.04","h","KE18"
"8022","1507.05","h","KE18"
"8023","1507.06","h","KE18"
"8024","1507.07","h","KE18"
"8025","1507.08","h","KE18"
"8026","1507.09","h","KE18"
"8027","1507.10","h","KE18"
"8028","1507.11","h","KE18"
"8029","1507.12","h","KE18"
"8030","1507.13","h","KE18"
"8031","1557.01","h","KE18"
"8033","1557.02","h","KE18"
"8034","1533.04","h","KE18"
"8036","1533.05","h","KE18"
"8040","1533.06","h","KE18"
"8041","1533.07","h","KE18"
"8042","1533.08","h","KE18"
"15063","F1232.10","h","KE18"
"4035","1234.03","h","KE18"
"2015","1530.01","m","KE18"
"5020","1316.05","h","KE18"
"7014","21116.02","h","KE18"
"1037","114.02","h","KE18"
"1011","F0022.01","m","KE18"
"4023","1270.01","h","KE18"
"7017","21170.01.02","h","KE18"
"10012","21495.02.01","h","KE18"
"8004","1501.10","h","KE18"
"1006","F0020.07","h","KE18"
"1060","23161.02.03","h","KE18"
"5029","21491.01","m","KE18"
"10007","21422.01","h","KE18"
"10011","1375.01","m","KE18"
"6015","22222.02.01","h","KE18"
"6016","22222.01.01","h","KE18"
"6003","22251.01.02","h","KE18"
"6004","22251.01.03","h","KE18"
"6005","22251.01.04","h","KE18"
"14001","21170.92.07","h","KE18"
"14002","21170.92.08","h","KE18"
"14004","21170.92.09","h","KE18"
"1029","39120.06.01","h","KE18"
"15134","F0875.02","h","KE18"
"6020","22290.04","m","KE18"
"6021","22290.05","m","KE18"
"5038","1221.01","m","KE18"
"4015","1290.9.05","h","KE18"
"3015","1242.01","h","KE18"
"3012","1241.9.01","h","KE18"
"13033","F1232.10","m","KE18"
"1033","23161.02.02","h","KE18"
"1003","F0022.15","h","KE18"
"5001","1341.03","h","KE18"
"5006","1319.05","m","KE18"
"5009","1359.9.04","h","KE18"
"5011","1316.02","m","KE18"
"5021","1359.9.05","h","KE18"
